study,citation,url
2021_Cao_Omicron,Cao et al. bioRxiv (2021),https://www.biorxiv.org/content/10.1101/2021.12.07.470392v1.full
2021_Dong_AZ,Dong et al. Nat Micro (2021),https://www.nature.com/articles/s41564-021-00972-2
2021_Greaney_Crowe_Abs,Greaney et al. Cell Host Microbe (2021a),https://www.sciencedirect.com/science/article/pii/S1931312820306247
2021_Greaney_HAARVI_sera,Greaney et al. Cell Host Microbe (2021b),https://www.sciencedirect.com/science/article/pii/S1931312821000822
2021_Greaney_COV2-2955,Greaney et al. NA (2021),https://github.com/jbloomlab/SARS-CoV-2-RBD_MAP_COV2-2955
2021_Greaney_Rockefeller,Greaney et al. Nat Comm (2021),https://www.nature.com/articles/s41467-021-24435-8
2021_Greaney_Moderna,Greaney et al. Sci Transl Med (2021),https://stm.sciencemag.org/content/13/600/eabi9915
2021_Greaney_B1351,Greaney et al. bioRxiv (2021),https://www.biorxiv.org/content/10.1101/2021.10.12.464114v1
2021_Starr_LY-CoV555,Starr et al. Cell Reports Medicine (2021),https://doi.org/10.1016/j.xcrm.2021.100255
2021_Starr_Vir,Starr et al. Nature (2021),https://www.nature.com/articles/s41586-021-03807-6
2021_Starr_REGN,Starr et al. Science (2021),https://science.sciencemag.org/content/early/2021/01/22/science.abf9302
2021_Tortorici_S2X259,Tortorici et al. Nature (2021),https://www.nature.com/articles/s41586-021-03817-4
